Marathon Name,City,State/Country,Date,courseSlug,status,sourceUrl,note
Rockin K Trail Marathon,"Marquette, KS 04/04/2026",KS,04/04/2026,,not-on-source,,no goandrace listing in any crawl
Golden Gate Headlands Marathon,"Sausalito, CA 04/04/2026",CA,04/04/2026,,not-on-source,,no goandrace listing in any crawl
Modesto Marathon,"Modesto, CA 04/04/2027",CA,04/04/2027,,not-on-source,,no goandrace listing in any crawl
Bakersfield Marathon,"Bakersfield, CA 04/04/2027",CA,04/04/2027,,not-on-source,,no goandrace listing in any crawl
Coast Guard Marathon,"Elizabeth City, NC 04/04/2027",NC,04/04/2027,,not-on-source,,no goandrace listing in any crawl
Raquette River Marathon,"Potsdam, NY 04/04/2026",NY,04/04/2026,,not-on-source,,no goandrace listing in any crawl
Milano Marathon,"Milan, IT 04/04/2027",IT,04/04/2027,milan-marathon,in-db,,Milan Marathon
Andrew Jackson Marathon,"Jackson, TN TBD",TN,TBD,,no-date,,"date is ""TBD"""
Milwaukee Marathon,"Milwaukee, WI 04/10/2027",WI,04/10/2027,milwaukee-marathon,in-db,,Milwaukee Marathon
New South Trail Marathon,"Charlotte, NC 04/10/2027",NC,04/10/2027,,not-on-source,,no goandrace listing in any crawl
Knoxville Marathon,"Knoxville, TN 04/11/2027",TN,04/11/2027,,not-on-source,,no goandrace listing in any crawl
Athens Marathon,"Athens, OH 04/11/2027",OH,04/11/2027,athens-marathon,in-db,,Athens Marathon
Martian Marathon,"Dearborn, MI 04/11/2026",MI,04/11/2026,,not-on-source,,no goandrace listing in any crawl
Horse Capital Marathon,"Lexington, KY 04/11/2026",KY,04/11/2026,capital-city-marathon,in-db,,Capital City Marathon
Coastal Delaware Running Festival Marathon,"Rehoboth Beach, DE 04/11/2027",DE,04/11/2027,coastal-delaware-marathon,in-db,,Coastal Delaware Marathon
Spring Chance BQ.2 Marathon,"Geneva, IL 04/11/2027",IL,04/11/2027,,not-on-source,,no goandrace listing in any crawl
Millbrook Marathon,"Millbrook, NY 04/11/2027",NY,04/11/2027,,not-on-source,,no goandrace listing in any crawl
Mo Marathon,"Perrysville, OH 04/11/2026",OH,04/11/2026,,not-on-source,,no goandrace listing in any crawl
London OH Marathon,"London, OH 04/11/2026",OH,04/11/2026,london-marathon,in-db,,London Marathon
Streakers Marathon,"Provo, UT 04/11/2026",UT,04/11/2026,,not-on-source,,no goandrace listing in any crawl
Philadelphia Trail Marathon,"Philadelphia, PA 04/11/2026",PA,04/11/2026,philadelphia-marathon,in-db,,Philadelphia Marathon
University of Charleston Marathon,"Charleston, WV 04/11/2027",WV,04/11/2027,charleston-marathon-charleston,parser-rejected,https://www.goandrace.com/en/running-events/charleston-marathon-2022-charleston.php,"fetch: looks like the already-seeded ""REVEL Mt Charleston Marathon"" (name+city match 1.00) — skipping to avoid a duplicate"
Vernonia Marathon,"Banks, OR 04/12/2026",OR,04/12/2026,,not-on-source,,no goandrace listing in any crawl
Paris Marathon,"Paris, FR 04/12/2026",FR,04/12/2026,paris-marathon,in-db,,Paris Marathon
Bend Marathon,"Bend, OR 04/12/2026",OR,04/12/2026,bend-marathon,in-db,,Bend Marathon
Chasing Jefferson Davis Marathon,"Abbeville, GA 04/12/2025",GA,04/12/2025,,past-event,,listed 04/12/2025
Hogeye Marathon,"Springdale, AR 04/17/2027",AR,04/17/2027,hogeye-marathon,in-db,,Hogeye Marathon
Wenatchee Marathon,"Wenatchee, WA 04/17/2027",WA,04/17/2027,,not-on-source,,no goandrace listing in any crawl
Blue Ridge Marathon,"Roanoke, VA 04/17/2027",VA,04/17/2027,blue-ridge-marathon,in-db,,Blue Ridge Marathon
Horseshoe Lake Trail Run Marathon,"Palo Alto, CA 04/17/2027",CA,04/17/2027,,not-on-source,,no goandrace listing in any crawl
Carmel Marathon,"Carmel, IN 04/17/2027",IN,04/17/2027,carmel-marathon,in-db,,Carmel Marathon
Golden Driller Marathon,"Tulsa, OK 04/17/2027",OK,04/17/2027,,not-on-source,,no goandrace listing in any crawl
Newport Rhode Races Marathon,"Newport, RI 04/17/2027",RI,04/17/2027,newport-marathon,in-db,,Newport Marathon
Virginia Marathon,"Middleburg, VA 04/17/2027",VA,04/17/2027,,not-on-source,,no goandrace listing in any crawl
Bremerton Marathon,"Bremerton, WA 04/18/2026",WA,04/18/2026,,not-on-source,,no goandrace listing in any crawl
Eisenhower Marathon,"Abilene, KS 04/18/2026",KS,04/18/2026,eisenhower-marathon,in-db,,Eisenhower Marathon
Pine Line Trail Marathon,"Medford, WI 04/18/2026",WI,04/18/2026,,not-on-source,,no goandrace listing in any crawl
Delaware Marathon,"Wilmington, DE 04/18/2027",DE,04/18/2027,delaware-marathon,in-db,,Coastal Delaware Marathon
Mountains 2 Beach Marathon,"Ventura, CA 04/18/2027",CA,04/18/2027,,not-on-source,,no goandrace listing in any crawl
Greater Manchester Marathon,"Manchester, UK 04/18/2027",UK,04/18/2027,manchester-marathon,in-db,,Manchester Marathon
Brew City Marathon,"Milwaukee, WI 04/18/2026",WI,04/18/2026,brew-city-marathon,in-db,,Brew City Marathon
Jersey City Marathon,"Jersey City, NJ 04/18/2027",NJ,04/18/2027,,not-on-source,,no goandrace listing in any crawl
Run the River Marathon,"Kennewick, WA 04/18/2026",WA,04/18/2026,,not-on-source,,no goandrace listing in any crawl
Vienna City Marathon,"Vienna, AT 04/18/2027",AT,04/18/2027,vienna-city-marathon,in-db,,Vienna City Marathon
Washington State Marathon,"Seattle, WA 04/18/2027",WA,04/18/2027,,not-on-source,,no goandrace listing in any crawl
Boston Marathon,"Boston, MA 04/19/2027",MA,04/19/2027,boston,in-db,,Boston Marathon
Illinois Marathon,"Champaign-Urbana, IL 04/24/2027",IL,04/24/2027,illinois-marathon,in-db,,Illinois Marathon
Rock n Roll Nashville Marathon,"Nashville, TN 04/24/2027",TN,04/24/2027,,not-on-source,,no goandrace listing in any crawl
Kentucky Derby Festival Marathon,"Louisville, KY 04/24/2027",KY,04/24/2027,kentucky-derby-festival-marathon,in-db,,Kentucky Derby Festival Marathon
Salt Lake City Marathon,"Salt Lake City, UT 04/24/2027",UT,04/24/2027,salt-lake-city-marathon,in-db,,Salt Lake City Marathon
Wisconsin Marathon,"Kenosha, WI 04/24/2027",WI,04/24/2027,wisconsin-marathon,in-db,,Wisconsin Marathon
Great Woods Marathon,"Mansfield, MA 04/24/2027",MA,04/24/2027,,not-on-source,,no goandrace listing in any crawl
Thelma and Louise Marathon,"Moab, UT 04/24/2027",UT,04/24/2027,thelma-and-louise-marathon,parser-rejected,https://www.goandrace.com/en/running-events/2026/04/thelma-and-louise-marathon-2026-moab.php,"parser failed: total route length 48.713 km is outside [41.5, 43.0] km"
Kewash Marathon,"Washington, IA 04/24/2027",IA,04/24/2027,,not-on-source,,no goandrace listing in any crawl
Eugene Marathon,"Eugene, OR 04/25/2027",OR,04/25/2027,,not-on-source,,no goandrace listing in any crawl
Garmin Olathe Marathon,"Olathe, KS 04/25/2026",KS,04/25/2026,,not-on-source,,no goandrace listing in any crawl
Nauvoo Marathon,"Nauvoo, IL 04/25/2026",IL,04/25/2026,,not-on-source,,no goandrace listing in any crawl
Big Sur International Marathon,"Carmel, CA 04/25/2027",CA,04/25/2027,big-sur-marathon,in-db,,Big Sur Marathon
Mississauga Marathon,"Mississauga, ON 04/25/2027",ON,04/25/2027,mississauga-marathon,in-db,,Mississauga Marathon
Gopher Attack Marathon,"Regina, SK 04/25/2027",SK,04/25/2027,,not-on-source,,no goandrace listing in any crawl
Frisco Marathon,"Willard, MO 04/25/2026",MO,04/25/2026,,not-on-source,,no goandrace listing in any crawl
Oklahoma City Memorial Marathon,"Oklahoma City, OK 04/25/2027",OK,04/25/2027,oklahoma-city-memorial-marathon,in-db,,Oklahoma City Memorial Marathon
Glass City Marathon,"Toledo, OH 04/25/2027",OH,04/25/2027,,not-on-source,,no goandrace listing in any crawl
Maui Marathon,"Kaanapali, HI 04/25/2027",HI,04/25/2027,maui-oceanfront-marathon,in-db,,Maui Oceanfront Marathon
Trail Marathon,"Pinckney, MI 04/25/2026",MI,04/25/2026,leadville-trail-marathon,in-db,,Leadville Trail Marathon
Gettysburg North-South Marathon,"Gettysburg, PA 04/25/2027",PA,04/25/2027,gettysburg-festival-of-races,no-course-map,https://www.goandrace.com/en/running-events/gettysburg-festival-of-races-2023-gettysburg.php,event page links no course map
Kalamazoo Marathon,"Kalamazoo, MI 04/25/2027",MI,04/25/2027,,not-on-source,,no goandrace listing in any crawl
Run with Scissors Marathon,"Brighton, CO 04/25/2026",CO,04/25/2026,,not-on-source,,no goandrace listing in any crawl
Connemara International Marathon,"Galway, IE 04/25/2027",IE,04/25/2027,,not-on-source,,no goandrace listing in any crawl
London Marathon,"London, UK 04/25/2027",UK,04/25/2027,london,in-db,,London Marathon
Hamburg Marathon,"Hamburg, GR 04/25/2027",GR,04/25/2027,hamburg-marathon,in-db,,Hamburg Marathon
St. Lawrence Marathon,"Cornwall, ON 04/25/2026",ON,04/25/2026,,not-on-source,,no goandrace listing in any crawl
